group_name,project_name,branch_count,,,
bs.mkt,mkt-mgn-service,4,,mkt_admin,5
bs.order,juanpi-order-shard,4,,cart-mgn,4
bs.order,juanpi-order-fixdata,4,,jushita_project001,4
bs.order,juanpi-order-spi,4,,JuanpiRN,4
frontend,juanpi-cs,4,,goods-task,4
ia.flow,guides,4,,zeus2,4
ia.lux,juanpi-trace-web,4,,jp_base,4
ia.solr,juanpi-order-dbexecutor,4,,sdk,4
ia.xuanyuan,sdk,4,,jp_im,4
im,ConnectionServer,4,,juanpi-trace-web,4
jushita,jushita_project001,4,,juanpi-cs,4
user_manage,user-service,4,,mkt-mgn-service,4
android,jp_score,3,,juanpi-order-dbexecutor,4
android,jiukuaiyou,3,,RDAP,4
api_phpgroup,soaproxy,3,,juanpi-order-fixdata,4
bi-source,dw-realtime,3,,cart-processor-xy1.0,4
bi-source,hiveUDF,3,,juanpi-order-shard,4
bs.cart,cart-domain-xy1.0,3,,ConnectionServer,4
bs.comm,domainloader-spi,3,,juanpi-order-spi,4
bs.goods,goods-web-tools,3,,user-service,4
bs.goods,juanpi-goods-domain,3,,session-timer,3
bs.goods,juanpi-goods-processor,3,,juanpi-goods-processor,3
bs.mbr,favorites-command-xy1.0,3,,juanpi-goods-domain,3
bs.mbr,favorites-service-xy1.0,3,,jiukuaiyou,3
bs.mbr,member-job,3,,develop-test-tool,3
bs.mbr,member-service-validate,3,,global.juanpi.com,3
bs.mbr,member-processor-xy1.0,3,,domainloader-spi,3
bs.mbr,member-domain-xy1.0,3,,demo-gitflow,3
bs.order,juanpi-order-domain-2.0,3,,pintuan-service,3
finance,supply-chain-finance,3,,goods-web-tools,3
FOG,demo-gitflow,3,,rtxwebapi,3
FOG,ngx-utils,3,,jp_score,3
front,actnew,3,,hiveUDF,3
frontend,juanpi-im-images,3,,linktrace,3
goods,goods,3,,juanpi-order-domain-2.0,3
HW_Mobile,jp_cross-border,3,,supply-chain-finance,3
ia.lux,lux-trace-ws,3,,mobile-push,3
ia.lux,lux-log,3,,favorites-command-xy1.0,3
ia.lux,common,3,,ngx-utils,3
ia.service,develop-test-tool,3,,lux-trace-ws,3
ia.xuanyuan,xuanyuan,3,,projectDashboard,3
ia.xuanyuan,ddd,3,,member-domain-xy1.0,3
im.v2,session-timer,3,,cart-domain-xy1.0,3
in.juanpi.com,global.juanpi.com,3,,member-job,3
IntelligentOffice,segment,3,,juanpi-im-images,3
IntelligentOffice,rtxwebapi,3,,member-processor-xy1.0,3
phpsdk,http-restful,3,,dw-realtime,3
phpsdk,linktrace,3,,member-service-validate,3
pintuan,pintuan-service,3,,segment,3
push,mobile-push,3,,favorites-service-xy1.0,3
qaDev,projectDashboard,3,,common,3
android,jp_cross-border,2,,ddd,3
android,jp_pifa,2,,http-restful,3
api_phpgroup,bigsale,2,,actnew,3
api_phpgroup,tracelog,2,,Logger,3
api_phpgroup,goApi,2,,lux-log,3
as.ci,docs,2,,xuanyuan,3
bi-source,itemRecommend,2,,gdt,2
bi-source,trolls,2,,utils,2
bi-source,gdt,2,,base,2
bs.cart,cart-spi-xy1.0,2,,juanpi-order-tools,2
bs.comm,xuanyuan-validate,2,,ruleEngine,2
bs.goods,juanpi-goods-domainloader,2,,juanpi-order-writeOldDB,2
bs.goods,juanpi-goods-spi,2,,juanpi-cs-images,2
bs.goods,goods-tools,2,,juanpi-goods-domainloader,2
bs.mbr,member-util,2,,core.juancdn.com,2
bs.mbr,dbexecutor-member-spi,2,,goods-tools,2
bs.mbr,member-db-executor,2,,micro-cart,2
bs.mbr,member-service-xy1.0,2,,model,2
bs.mbr,member-spi-xy1.0,2,,manage,2
bs.mkt,ruleEngine,2,,juanpi-goods-spi,2
bs.order,kafka-http-proxy,2,,cart-spi-xy1.0,2
bs.order,order-facade,2,,mq-client,2
bs.order,juanpi-order-nvwastone,2,,config,2
bs.order,juanpi-order-tools,2,,msgdispatch,2
bs.order,juanpi-order-writeOldDB,2,,tracelog,2
bs.order,order-job,2,,MsgRouter,2
bs.spi,bs-spi,2,,user,2
DexterLab,WallpaperThief,2,,kafka-http-proxy,2
finance,supply-chain-finance-cron,2,,merchants,2
front,core.juancdn.com,2,,order-dataRepair-sdk,2
frontend,juanpi-cs-images,2,,itemRecommend,2
HW_Mobile,RNProject,2,,order-facade,2
HW_Mobile,RN,2,,bigsale,2
ia.flow,gitlab-exercise,2,,order-job,2
ia.sdk,micro-cart,2,,member-db-executor,2
ia.service,service-management,2,,passport,2
ia.solr,order-dataRepair-sdk,2,,juanpi-order-nvwastone,2
ia.test,gitlab-exercise,2,,bs-spi,2
ia.xuanyuan,register,2,,service-management,2
ia.xuanyuan,mq-client,2,,business,2
im,document,2,,doc,2
im,MonitorServer,2,,goApi,2
im,MsgRouter,2,,member-service-xy1.0,2
images,upload,2,,jp_pifa,2
IntelligentOffice,rtx,2,,supply-chain-finance-cron,2
IntelligentOffice,msgdispatch,2,,ProjectTest,2
IntelligentOffice,passport,2,,trolls,2
logtech,ProjectTest,2,,docs,2
phpsdk,merchants,2,,upload,2
phpsdk,soaproxy,2,,register,2
phpsdk,business,2,,xuanyuan-validate,2
phpsdk,manage,2,,RN,2
phpsdk,user,2,,WallpaperThief,2
phpsdk,logger,2,,RNProject,2
phpsdk,base,2,,dbexecutor-member-spi,2
phpsdk,model,2,,document,2
phpsdk,config,2,,rtx,2
api_phpgroup,applog.juanpi.com,1,,member-spi-xy1.0,2
as.ci,deployment,1,,member-util,2
autopack,pack,1,,MonitorServer,2
BD-vendor,apidoc,1,,spark-src,1
bi-source,wxapplet,1,,bi-common,1
bi-source,sync-rb2mysql,1,,account-parent,1
bi-source,syncgoodsinfo,1,,lux-store,1
bi-source,kylin,1,,secretLibrary4iOS,1
bi-source,JuanpiMobileAutomationTest,1,,bi-geo,1
bi-source,rb_sgoods_info,1,,kylin,1
bi-source,bi-hawkeye,1,,lux-web,1
bi-source,realtimebo,1,,lux-monitor,1
bi-source,odps-tools,1,,magina,1
bi-source,huiguo,1,,sandbox_rank,1
bi-source,autocreatejavafile,1,,maintenance,1
bi-source,umeng,1,,bi-express-queue,1
bi-source,elkmonitor,1,,debug-bar,1
bi-source,hadoop-jp-plugin,1,,task,1
bi-source,sqoop-1.4.6-cdh5.8.0,1,,mapi,1
bi-source,hue,1,,userprofile-se,1
bi-source,otter-column-diff-monitor,1,,actionhub-ci,1
bi-source,bi-geo-queue,1,,lux-kafka,1
bi-source,bi-geo,1,,hadoop-jp-plugin,1
bi-source,sandbox_rank,1,,rest-api-doc,1
bi-source,mysql_etl,1,,jp_dm,1
bi-source,hiveF,1,,bi-ip,1
bi-source,RealTimeUserProfile,1,,heroic,1
bi-source,userprofile-se,1,,scmfiles,1
bi-source,jpotter,1,,jp_job_history,1
bi-source,otter-jp-old,1,,itop,1
bi-source,Recommend,1,,heroic-client,1
bi-source,spark-commons,1,,config-web,1
bi-source,flowdatacompare,1,,HessianPHP,1
bi-source,analysis-goodslabel-search,1,,jetstream,1
bi-source,rdapclean,1,,jpanalyzer,1
bi-source,monitors,1,,tideways-profiler,1
bi-source,jingpin-services,1,,jpotter,1
bi-source,boyun,1,,app_channel,1
bi-source,zookeeper-clean,1,,messenger,1
bi-source,bi-structure-platform,1,,WebTestFramework,1
bi-source,service-monitor,1,,JPSpecs,1
bi-source,zeus-log-analyser,1,,wxapplet,1
bi-source,zeus_monitor,1,,JPSR,1
bi-source,user-insight,1,,xuanyuan-exercise,1
bi-source,tiny,1,,mkt.2.0-processor,1
bi-source,taskengine,1,,remoting,1
bi-source,sparkdump,1,,mkt.2.0-spi,1
bi-source,sermon,1,,image-proxy,1
bi-source,RDAP-M,1,,zeus-log-analyser,1
bi-source,presto-jdbc,1,,device-activation,1
bi-source,otter-jp,1,,mkt-domainloader,1
bi-source,magina,1,,dump,1
bi-source,logreceiver,1,,mkt-event-job,1
bi-source,logconsumser,1,,insteadOfKafka,1
bi-source,kafka-src,1,,documentation,1
bi-source,jre,1,,scripts,1
bi-source,jp_job_history,1,,jpuitest,1
bi-source,itop,1,,juanpi-post-service,1
bi-source,insteadOfKafka,1,,jre,1
bi-source,hive2hbase,1,,chant,1
bi-source,flume-ext,1,,download,1
bi-source,dump,1,,jugg,1
bi-source,datax-manager,1,,bi-geo-queue,1
bi-source,datax,1,,spark-commons,1
bi-source,commons-tool,1,,MobileTestFramework,1
